entidad,n_entidad,nivel,insc_t,hom_t,muj_t,egre_hom,egre_muj,egre_tot,docente_h,docente_m,tot_doc,porc_aban_hom,porc_aban_muj,porc_aban_tot,porc_doc_hom,porc_doc_muj,porc_ins_hom,porc_insc_muj
26,sonora,primaria,1773298,903495,869803,0,0,0,22804,45925,68729,1.0,1.0,1.0,0.3317958940185366,0.6682041059814634,0.5094998133421456,0.49050018665785444
26,sonora,secundaria,887187,449009,438178,138891,139915,278806,14157,22077,36234,0.6906721246122015,0.6806891263367856,0.6857415629399439,0.3907103825136612,0.6092896174863388,0.5061041246095807,0.4938958753904194
27,tabasco,inicial,25997,13311,12686,0,0,0,41,1238,1279,1.0,1.0,1.0,0.03205629397967162,0.9679437060203284,0.5120206177635881,0.4879793822364119
27,tabasco,media superior,691627,349094,342533,95012,98852,193864,25409,20889,46298,0.7278326181486935,0.7114088277625805,0.7196986236801051,0.5488142036373062,0.45118579636269385,0.5047431635838393,0.49525683641616075
27,tabasco,preescolar,646594,326438,320156,0,0,0,724,22522,23246,1.0,1.0,1.0,0.03114514325045169,0.9688548567495483,0.5048577623671113,0.49514223763288867
27,tabasco,primaria,1669372,851456,817916,0,0,0,17543,39124,56667,1.0,1.0,1.0,0.30958053187922424,0.6904194681207758,0.5100456938297755,0.4899543061702245
27,tabasco,secundaria,809351,413987,395364,129950,125905,255855,13597,16831,30428,0.686101254387215,0.6815466253882498,0.6838763404258474,0.4468581569606941,0.5531418430393059,0.5115048971336293,0.4884951028663707
28,tamaulipas,inicial,50540,25951,24589,0,0,0,0,4578,4578,1.0,1.0,1.0,0.0,1.0,0.5134744756628413,0.4865255243371587
28,tamaulipas,media superior,842527,410109,432418,112479,127059,239538,39691,39623,79314,0.7257338902584435,0.7061662557987873,0.7156910104958061,0.5004286758958065,0.49957132410419347,0.4867606616761243,0.5132393383238757
28,tamaulipas,preescolar,607498,304625,302873,0,0,0,393,30082,30475,1.0,1.0,1.0,0.012895816242821986,0.987104183757178,0.5014419800559015,0.4985580199440986
28,tamaulipas,primaria,2169207,1103190,1066017,0,0,0,19461,62610,82071,1.0,1.0,1.0,0.2371239536498885,0.7628760463501115,0.5085683385679651,0.4914316614320348
28,tamaulipas,secundaria,1030499,517972,512527,157615,161383,318998,17953,26947,44900,0.6957074899801534,0.6851229301090479,0.6904431736469419,0.39984409799554566,0.6001559020044543,0.5026419239611101,0.4973580760388899
29,tlaxcala,inicial,11906,5970,5936,0,0,0,11,452,463,1.0,1.0,1.0,0.023758099352051837,0.9762419006479481,0.5014278515034436,0.49857214849655634
29,tlaxcala,media superior,356587,176031,180556,46096,51842,97938,15759,16074,31833,0.7381370326817436,0.7128757836903786,0.7253461287147316,0.49505230421260954,0.5049476957873904,0.4936551248362952,0.5063448751637047
29,tlaxcala,preescolar,292893,147462,145431,0,0,0,258,12917,13175,1.0,1.0,1.0,0.019582542694497152,0.9804174573055029,0.5034671364628038,0.49653286353719617
29,tlaxcala,primaria,894151,453136,441015,0,0,0,9610,25997,35607,1.0,1.0,1.0,0.26989075181846267,0.7301092481815373,0.5067779379545513,0.4932220620454487
29,tlaxcala,secundaria,444210,224151,220059,69060,69768,138828,8312,12805,21117,0.6919041182060308,0.6829577522391722,0.6874721415546701,0.3936165174977506,0.6063834825022494,0.5046059296278788,0.4953940703721213
